Membership No  Date Joined  Active  
    27879      2015-6-21    no    
    51939      2018-8-23    no    
    30194      2020-11-5    no    
    52162      2018-8-5     no    
    43447      2016-2-5     no    
    87930      2018-12-25   no    
    95008      2020-12-20   no    
    97220      2020-3-3     no    
    72208      2018-8-6     no    
    83007      2019-1-1     no    
    59899      2018-6-20    no    
    96861      2020-9-24    no    
    15584      2019-8-25    no    
    88597      2015-9-17    no    
    70115      2018-2-6     no    
